工作流名称,工作流Code,Cron表达式,状态,更新时间,备注
DWS_SEC_D（短信）,162056094348996,0 25 10 0 5 6 7 9 * * ? *,ONLINE,2025-03-25,
中国业务库校验,162922426887878,0 30 4 * * ? *,ONLINE,2025-03-25,
ODS_CRM_ARGUS,164960080420544,0 0 * * * ? *,OFFLINE,2025-03-25,
国内-全球同步工作流（D-3）,158514962159616,0 11 11 * * ? *,ONLINE,2025-03-25,
国内-数仓工作流(M-1),158514963380224,0 20 7 2 * ? *,ONLINE,2025-03-25,
国内-数仓工作流(T-1),158514967094272,0 0 10 * * ? *,ONLINE,2025-03-25,
【hive】每日全量用户表同步,163202875984576,0 20 0 * * ? *,ONLINE,2025-03-25,
国内-数仓工作流(D-1),158514957337600,0 15 3 8 12 * * ? *,ONLINE,2025-03-25,
国内-数仓工作流(H-1),158514958374912,0 3 0 2 4 10 13 15 17 23 9 19 21 7 1 5 6 11 14 16 18 20 22 * * ? *,ONLINE,2025-03-25,
DWB(D-1),158514957701120,0 0 * * * ? *,OFFLINE,2025-03-25,
DWD_SEC（1M）,163372427743936,0 0 0 3 1 * ? *,OFFLINE,2025-03-25,
RPT_FCT_2125_TOTAL_GRANT_H,158514967234560,0 0 * * * ? *,OFFLINE,2025-03-25,
rpt_fct_2125_total_due_d,158514967273472,0 0 0 * * ? *,OFFLINE,2025-03-25,
DWB_APP_APPLY_USER_INFO,158514966916096,0 9/30 * * * ? *,OFFLINE,2025-03-25,
DWB_APP_APPLY_INFO_MULT,158514966953984,0 11/30 * * * ? *,OFFLINE,2025-03-25,
DWB_APP_BIZ_PERIOD_INFO,158514966522880,0 45 1/1 * * ? *,OFFLINE,2025-03-25,
DWB_USER_REGISTSER_TIMES,158514966628352,0 30 1/1 * * ? *,OFFLINE,2025-03-25,
rpt_fct_2104_repe_loss_d,158514962741248,0 6 0 * * ? *,OFFLINE,2025-03-25,
DWB_NEW_USER_LIST,158514962347008,0 0 * * * ? *,OFFLINE,2025-03-25,
rpt_fct_2106_all_user_fprate_risk_h,158514962582528,0 6 * * * ? *,OFFLINE,2025-03-25,
国内-业务监控(M-30),158514962894848,0 27/30 * * * ? *,OFFLINE,2025-03-25,
RPT_2103_D,158514962386944,0 0 3 19 * * ? *,OFFLINE,2025-03-25,
rpt_fct_2106_all_user_fprate_risk_gap_h,158514962622464,0 4 * * * ? *,OFFLINE,2025-03-25,
RPT_2103_H,158514962463744,0 0 * * * ? *,OFFLINE,2025-03-25,
rpt_fct_2112_busi_monitor_h,158514962662400,0 2 * * * ? *,OFFLINE,2025-03-25,
rpt_fct_2110_mult_gmv_income_h,158514962503680,0 0 * * * ? *,OFFLINE,2025-03-25,
rpt_fct_2117_channel_trans_d,158514962701312,0 5 0 * * ? *,OFFLINE,2025-03-25,
rpt_fct_2125_total_finish_h,158514962542592,0 1 * * * ? *,OFFLINE,2025-03-25,
