工作流 Code,工作流名称，版本
158514956979200,DWD,66
158514957051904,ODS_APP_BANANA_SUIYINLIANG,3
158514957094912,ODS_APP_STRAWBERRY_SUIYINLIANG,3
158514957134848,ODS_APP_PITAYA_SUIYINLIANG,3
158514957173760,ODS_BIZ_CMDB,3
158514957209600,ODS_BIZ_PAYSVR,2
158514957248512,ODS_BIZ_QSQ_ERP,4
158514957297664,DWB,7
158514957337600,国内数仓 - 日报 (D-1),25
158514957386752,ODS_RISK,4
158514957423616,ODS_CAPITAL,10
158514957458432,DIM,5
158514957494272,ODS_RISKDATA_[full],2
158514957541376,ODS_HIVE,18
158514957576192,ADS_3200,4
158514957613056,ADS_3500_D,20
158514957656064,DWD(D-1),9
158514957701120,DWB(D-1),3
158514957737984,ODS_BIZ_QSQ_ERP_PART,7
158514957779968,DWS,23
158514957815808,ADS_3300,4
158514957851648,ODS_BIZ_PAYSVR_CAPITAL,4
158514957892608,ADS_3600,21
158514957929472,ODS_CRM,11
158514957969408,ODS_BIZ_QSQ_ERP(D-1),2
158514958004224,DWS(D-1),7
158514958042112,ODS_MSGSVR,5
158514958085120,DM_FOX,2
158514958118912,ODS_MSGSVR[flink],4
158514958162944,ODS_APP_PITAYA_MERCHANT,2
158514958197760,ODS_BIZ_QSQ_ERP_PART_TMP,3
158514958235648,ADS_3700(1D),4
158514958270464,ADS_3500,26
158514958305280,ODS_REPAY,2
158514958340096,test,14
158514958374912,国内数仓 - 月报 (H-1),54
158514958429184,DWD_SEC,10
158514958462976,DIM_SEC,6
158514958495744,ODS_BIZ_PAYSVR,6
158514958533632,ODS_BIZ_PAYSVR_CAPITAL_copy_20250829102850042,2
158514958568448,ODS_HIVE_DWD,7
158514958602240,ADS_3800(1D),3
158514958641152,ODS_RISK_copy_20250922150227423,2
158514958676992,ODS_HIVE_dm_feature,2
158514958711808,ODS_APP_BANANA_SUIYINLIANG[FLINK],2
158514958749696,ODS_APP_STRAWBERRY_SUIYINLIANG[flink],2
158514958788608,ODS_BI,2
158514958821376,BIZ_ACCTRIX,41
158514958861312,ODS_BI_ODS,2
158514958895104,ADS_3600(1H),2
158514961869824,ODS_BIZ_REPAY,12
158514961906688,ODS_APP_BANANA_PAYDAYLOAN[FLINK],4
158514961943552,ODS_APP_STRAWBERRY_PAYDAYLOAN[flink],4
158514961980416,ODS_APP_PITAYA_PAYDAYLOAN,2
158514962016256,ODS_BIZ_GBIZ,4
158514962052096,ODS_HUBBLE_WORKER,2
158514962088960,ODS_DISTRIBUTE,2
158514962124800,DIM_D,2
158514962159616,国内数仓 - 报表 - 周,3
158514962200576,国内数仓 - 核心指标 - 日报,6
158514962236416,国内数仓 -3 日指标 - 日报,6
158514962272256,国内数仓 - 风控指标 - 日报,6
158514962309120,国内数仓 - 渠道转化 - 日报,7
158514962347008,DWB_NEW_USER_LIST,2
158514962386944,RPT_2103_D,2
158514962428928,DWB_NEW_USER_LIST_INIT,2
158514962463744,RPT_2103_H,2
158514962503680,rpt_fct_2110_mult_gmv_income_h,2
158514962542592,rpt_fct_2125_total_finish_h,2
158514962582528,rpt_fct_2106_all_user_fprate_risk_h,2
158514962622464,rpt_fct_2106_all_user_fprate_risk_gap_h,2
158514962662400,rpt_fct_2112_busi_monitor_h,2
158514962701312,rpt_fct_2117_channel_trans_d,2
158514962741248,rpt_fct_2104_repe_loss_d,2
158514962781184,ODS_APPLY_MONTH,2
158514962823168,ODS_HIVE_1,2
158514962857984,ADS_3000,3
158514962894848,国内数仓 - 月度指标 (M-30),3
158514962933760,kbm_summary_reprint_12h,3
158514962982912,DWB(D-1)_copy_20241104175828585,2
158514963021824,国内数仓 - 核心指标 2- 日报,6
158514963057664,ADS_3300_D,2
158514963093504,ODS_BIZ_QSQ_ERP_WITHHODE_REQUES,2
158514963128320,ADS_3400,2
158514963162112,ods_hubble_worker_task_sms_result,2
158514963196928,ODS_BIZ_REPAY_tmp,2
158514963231744,ODS_SERVICEFRAMEWORK_FULL,2
158514963265536,DIM_FULL,5
158514963300352,ODS_BIZ_PROJECT,3
158514963335168,cn_test,2
158514963380224,国内数仓 - 月度指标 (M-1),3
158514963422208,DWS(M-1),2
158514963457024,ADS_3800_M,2
158514963492864,ODS_BIZ_REPAY(D-1),2
158514963530752,国内数仓-Doris-DWD(D-1),9
158514963564544,国内数仓-Doris-DWS(D-1),3
158514963607552,ODS_APP_STRAWBERRY_PAYDAYLOAN_COMBO,2
158514963642368,ODS_APP_PITAYA_PAYDAYLOAN_COMBO,3
158514963676160,ODS_APP_BANANA_PAYDAYLOAN_COMBO,2
158514963709952,FIN,2
158514966522880,DWB_APP_BIZ_PERIOD_INFO,2
158514966561792,DWD_USER_REGISTER,2
158514966595584,DWD_USER_RE_REGISTER,2
158514966628352,DWB_USER_REGISTSER_TIMES,2
158514966668288,DWB_APP_BIZ_PERIOD_INFO_INIT,2
158514966707200,ODS_BIZ_MERCHANT,2
158514966742016,ODS_FOX_QSQ,2
158514966780928,ODS_FOX_JIHE,2
158514966815744,DWD_APP_APPLY,2
158514966848512,DWD_APP_APPLY_EXTEND,2
158514966883328,DWD_APP_APPLY_TIME,2
158514966916096,DWB_APP_APPLY_USER_INFO,2
158514966953984,DWB_APP_APPLY_INFO_MULT,2
158514966992896,HIVE_LOAD_ODS,2
158514967025664,ODS_QSQ_ERP_DEL,2
